epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,160.696,1.30296,3.20242,1.4984,0.45406,0.47952,0.41922,0.27035,1.279,1.99911,1.5503,0.00331288,0.00331288,0.00331288
2,316.595,1.27828,2.07015,1.46771,0.45803,0.41486,0.37494,0.23212,1.36381,2.28147,1.6032,0.00658042,0.00658042,0.00658042
3,475.998,1.29317,1.97679,1.46452,0.15456,0.26241,0.11107,0.06606,1.66446,4.14221,1.96724,0.00978196,0.00978196,0.00978196
4,632.882,1.36446,2.00328,1.50184,0.33439,0.36797,0.28691,0.17399,1.49427,4.70134,1.65959,0.009703,0.009703,0.009703
5,788.717,1.30812,1.8136,1.44685,0.43283,0.34955,0.2754,0.16727,1.3534,3.89121,1.58895,0.009604,0.009604,0.009604
6,943.313,1.26544,1.66833,1.42309,0.54084,0.41469,0.40736,0.27876,1.29177,2.61768,1.49462,0.009505,0.009505,0.009505
7,1099.84,1.24829,1.5688,1.40467,0.58479,0.47004,0.50537,0.3393,1.21154,1.87804,1.42076,0.009406,0.009406,0.009406
8,1256.74,1.22071,1.48475,1.38465,0.57305,0.5393,0.5683,0.37111,1.2995,1.67526,1.48094,0.009307,0.009307,0.009307
9,1412.99,1.21667,1.45507,1.38443,0.57823,0.48413,0.50112,0.33135,1.27591,1.75701,1.48423,0.009208,0.009208,0.009208
10,1565.26,1.19187,1.39699,1.37341,0.60532,0.46177,0.52516,0.35984,1.21854,1.81442,1.46376,0.009109,0.009109,0.009109
11,1718.46,1.17448,1.35654,1.36138,0.63925,0.61686,0.6458,0.45035,1.16382,1.47304,1.38893,0.00901,0.00901,0.00901
12,1871.23,1.15208,1.30854,1.34936,0.65402,0.57958,0.62744,0.4409,1.1207,1.43261,1.35178,0.008911,0.008911,0.008911
13,2024.61,1.14679,1.29518,1.34925,0.65386,0.68281,0.70764,0.50852,1.08819,1.17866,1.33791,0.008812,0.008812,0.008812
14,2178,1.13568,1.26364,1.33707,0.6686,0.67947,0.69078,0.49412,1.08802,1.19941,1.31615,0.008713,0.008713,0.008713
15,2330.96,1.1321,1.23981,1.33308,0.66938,0.60737,0.64449,0.46479,1.10732,1.46369,1.33728,0.008614,0.008614,0.008614
16,2482.8,1.12071,1.2126,1.32862,0.71806,0.61987,0.68399,0.49444,1.07898,1.28775,1.32649,0.008515,0.008515,0.008515
17,2634.12,1.11208,1.19431,1.3256,0.67738,0.627,0.67972,0.48872,1.09548,1.33793,1.3412,0.008416,0.008416,0.008416
18,2785.91,1.09976,1.17681,1.31193,0.73754,0.71532,0.75534,0.55413,1.04456,1.08459,1.28086,0.008317,0.008317,0.008317
19,2938.79,1.0907,1.14442,1.30732,0.7154,0.70454,0.74626,0.54891,1.02549,1.05475,1.27069,0.008218,0.008218,0.008218
20,3090.76,1.09292,1.12398,1.30728,0.72603,0.69723,0.74231,0.54375,1.04708,1.12638,1.27583,0.008119,0.008119,0.008119
21,3242.55,1.0702,1.10366,1.30008,0.75752,0.72432,0.78172,0.57907,1.01291,0.97487,1.26661,0.00802,0.00802,0.00802
22,3397.11,1.07254,1.10845,1.29351,0.74688,0.72377,0.78206,0.57784,1.01253,0.98642,1.26923,0.007921,0.007921,0.007921
23,3549.49,1.0598,1.08923,1.28964,0.74153,0.75381,0.78709,0.58067,1.00491,0.92596,1.25318,0.007822,0.007822,0.007822
24,3703.11,1.06507,1.08094,1.29265,0.73061,0.68692,0.73308,0.54097,1.0339,1.12519,1.27282,0.007723,0.007723,0.007723
25,3857.88,1.05351,1.05785,1.28182,0.75669,0.75447,0.79264,0.59804,0.97023,0.90163,1.22686,0.007624,0.007624,0.007624
26,4011.96,1.04791,1.06146,1.28065,0.74147,0.77448,0.79891,0.59336,0.97762,0.90262,1.23591,0.007525,0.007525,0.007525
27,4165.03,1.02684,1.02554,1.27162,0.74686,0.7182,0.76003,0.56391,0.99369,0.96949,1.2548,0.007426,0.007426,0.007426
28,4317.21,1.04177,1.02038,1.27379,0.75267,0.77725,0.80421,0.60701,0.96081,0.8758,1.22464,0.007327,0.007327,0.007327
29,4471.01,1.04536,1.01989,1.27824,0.75359,0.77279,0.80758,0.6073,0.97019,0.87992,1.23035,0.007228,0.007228,0.007228
30,4623.24,1.02526,0.99924,1.26564,0.78596,0.76607,0.81402,0.61551,0.95386,0.83466,1.22285,0.007129,0.007129,0.007129
31,4777.37,1.02483,0.99385,1.26077,0.78202,0.76319,0.81687,0.61649,0.95298,0.8355,1.22067,0.00703,0.00703,0.00703
32,4930.09,1.02185,0.98479,1.26264,0.77441,0.77946,0.82134,0.62588,0.94622,0.82202,1.21106,0.006931,0.006931,0.006931
33,5082.78,1.02151,0.97544,1.25922,0.78827,0.78122,0.82234,0.62743,0.94947,0.82325,1.21698,0.006832,0.006832,0.006832
34,5235.53,1.01461,0.96662,1.25951,0.80245,0.7735,0.82878,0.63369,0.9362,0.81275,1.20013,0.006733,0.006733,0.006733
35,5387.96,1.00846,0.9678,1.25137,0.79904,0.78395,0.83397,0.64011,0.93439,0.78698,1.2032,0.006634,0.006634,0.006634
36,5539.85,1.00899,0.95137,1.249,0.7935,0.78033,0.83197,0.63795,0.93783,0.7994,1.20199,0.006535,0.006535,0.006535
37,5689.28,0.99359,0.93244,1.25213,0.78453,0.78913,0.82761,0.63532,0.92386,0.8213,1.19796,0.006436,0.006436,0.006436
38,5841.93,1.00054,0.94885,1.25385,0.81218,0.79097,0.84142,0.64622,0.92601,0.76572,1.19266,0.006337,0.006337,0.006337
39,5992.65,0.98734,0.93278,1.24755,0.78981,0.79735,0.83661,0.64549,0.91524,0.77863,1.18151,0.006238,0.006238,0.006238
40,6145.36,0.99225,0.92277,1.24157,0.81364,0.80124,0.84858,0.65871,0.91526,0.74574,1.18305,0.006139,0.006139,0.006139
41,6296.79,0.98582,0.91407,1.23759,0.80654,0.79506,0.8371,0.65073,0.91396,0.76694,1.179,0.00604,0.00604,0.00604
42,6448.06,0.97296,0.91065,1.23202,0.81299,0.8009,0.84944,0.65753,0.90434,0.7455,1.17709,0.005941,0.005941,0.005941
43,6598.02,0.97146,0.8969,1.23085,0.79619,0.79564,0.83952,0.65355,0.89595,0.77394,1.17138,0.005842,0.005842,0.005842
44,6750.16,0.9606,0.89069,1.2321,0.81933,0.80287,0.85532,0.67013,0.87877,0.71877,1.15772,0.005743,0.005743,0.005743
45,6900.26,0.97274,0.89602,1.23594,0.80591,0.80327,0.85617,0.67039,0.89261,0.71989,1.17039,0.005644,0.005644,0.005644
46,7051.28,0.96565,0.87806,1.22846,0.80628,0.81603,0.85367,0.66899,0.88906,0.73572,1.16542,0.005545,0.005545,0.005545
47,7202.02,0.97869,0.87764,1.23009,0.80553,0.82141,0.85861,0.66943,0.88546,0.70901,1.16304,0.005446,0.005446,0.005446
