epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,239.29,1.31199,3.53449,1.50985,0.39928,0.45103,0.38196,0.25225,1.27764,2.39321,1.48256,0.000138897,0.000138897,0.000138897
2,463.795,1.29518,2.46222,1.48984,0.57401,0.55773,0.5524,0.37064,1.20847,1.894,1.45669,0.000273967,0.000273967,0.000273967
3,688.653,1.25458,2.13047,1.46568,0.55627,0.61572,0.58268,0.40991,1.17151,1.5908,1.40974,0.000405105,0.000405105,0.000405105
4,910.862,1.2161,1.95133,1.44181,0.66419,0.64443,0.67031,0.45422,1.17031,1.42991,1.42453,0.000399307,0.000399307,0.000399307
5,1134.11,1.17923,1.78094,1.41698,0.64814,0.65276,0.6484,0.45861,1.09864,1.42834,1.36351,0.00039341,0.00039341,0.00039341
6,1356.69,1.16028,1.66147,1.39909,0.71483,0.66747,0.7236,0.5295,1.05571,1.16737,1.32484,0.000387512,0.000387512,0.000387512
7,1577.58,1.13473,1.57403,1.38618,0.66989,0.70151,0.70557,0.51254,1.06637,1.23731,1.32194,0.000381615,0.000381615,0.000381615
8,1800.24,1.11257,1.5224,1.3734,0.69632,0.70006,0.73461,0.53802,1.04273,1.11313,1.30985,0.000375717,0.000375717,0.000375717
9,2022.79,1.11142,1.45094,1.36303,0.70053,0.72632,0.74121,0.54066,1.03492,1.1404,1.29384,0.000369819,0.000369819,0.000369819
10,2243.23,1.10147,1.40542,1.35749,0.67495,0.73892,0.72928,0.53227,1.02812,1.0634,1.29552,0.000363922,0.000363922,0.000363922
11,2462.76,1.09317,1.37429,1.35447,0.70818,0.75915,0.75385,0.54994,1.02461,1.06929,1.28967,0.000358024,0.000358024,0.000358024
12,2681.54,1.07667,1.31929,1.34212,0.73131,0.74739,0.77337,0.57221,1.00502,0.96775,1.28395,0.000352127,0.000352127,0.000352127
13,2900.41,1.06896,1.2923,1.33878,0.73527,0.75333,0.78353,0.58104,0.99309,0.97424,1.26449,0.000346229,0.000346229,0.000346229
14,3122.95,1.066,1.27673,1.33377,0.72365,0.73599,0.76797,0.56947,0.99828,0.96337,1.26502,0.000340332,0.000340332,0.000340332
