epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,159.675,1.18474,3.76589,1.43527,0.31511,0.31906,0.29165,0.19635,1.27078,2.59635,1.528,0.00331288,0.00331288,0.00331288
2,317.012,1.21038,2.35463,1.42013,0.34524,0.3499,0.26417,0.15269,1.3923,3.1112,1.64905,0.00658042,0.00658042,0.00658042
3,469.646,1.25976,2.06386,1.44325,0.24058,0.28859,0.16707,0.09602,1.60993,3.91672,1.86295,0.00978196,0.00978196,0.00978196
4,623.422,1.29845,2.05532,1.4704,0.36161,0.32637,0.28757,0.17022,1.42891,2.78315,1.6905,0.009703,0.009703,0.009703
5,776.384,1.24579,1.83485,1.43111,0.27366,0.3197,0.19108,0.12413,1.42539,3.61475,1.63138,0.009604,0.009604,0.009604
6,931.39,1.21489,1.69555,1.40463,0.51668,0.45809,0.45393,0.29554,1.27393,2.74252,1.49959,0.009505,0.009505,0.009505
7,1085.2,1.16894,1.56848,1.37127,0.5447,0.58263,0.55902,0.38369,1.24068,1.66679,1.45422,0.009406,0.009406,0.009406
8,1238.95,1.15357,1.47304,1.35812,0.60471,0.50608,0.54669,0.38175,1.27018,1.83125,1.51832,0.009307,0.009307,0.009307
9,1392.45,1.14154,1.41351,1.34447,0.62477,0.52716,0.57604,0.40417,1.26439,1.77008,1.50029,0.009208,0.009208,0.009208
10,1549.1,1.11855,1.3688,1.32699,0.58597,0.58033,0.60051,0.42183,1.22319,1.55406,1.45016,0.009109,0.009109,0.009109
11,1702.92,1.09671,1.30312,1.32125,0.59201,0.55408,0.57411,0.40916,1.21399,1.62818,1.41312,0.00901,0.00901,0.00901
12,1854.94,1.08688,1.26294,1.31456,0.74219,0.62041,0.69553,0.50717,1.09824,1.43604,1.34494,0.008911,0.008911,0.008911
