epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,35.1323,1.1039,3.69674,1.33077,0.0151,0.88432,0.16483,0.11482,0.85478,3.2405,1.20276,0.000192839,0.000192839,0.000192839
2,64.3172,1.11677,3.01529,1.33214,0.38178,0.40411,0.28017,0.2004,1.04058,2.35795,1.40298,0.00038114,0.00038114,0.00038114
3,91.337,1.16304,2.53245,1.3488,0.26215,0.4517,0.35061,0.24156,1.12161,2.56373,1.44194,0.000561679,0.000561679,0.000561679
4,118.315,1.12887,2.19009,1.33174,0.3822,0.5022,0.44361,0.31365,1.05448,1.98428,1.35094,0.000553073,0.000553073,0.000553073
5,145.324,1.1414,2.02431,1.33164,0.43878,0.46567,0.45702,0.32468,1.07811,2.1536,1.43839,0.00054143,0.00054143,0.00054143
6,171.995,1.07776,1.80998,1.28547,0.54728,0.69124,0.64989,0.46784,0.99786,1.51549,1.29854,0.000529788,0.000529788,0.000529788
7,199.516,1.10121,1.74794,1.28728,0.62585,0.61726,0.65874,0.46962,1.00699,1.44987,1.3259,0.000518146,0.000518146,0.000518146
8,225.396,1.05813,1.60541,1.25903,0.59291,0.5239,0.54043,0.3797,1.06419,1.89207,1.35324,0.000506503,0.000506503,0.000506503
9,253.477,1.06669,1.63675,1.26523,0.53818,0.69123,0.63074,0.4596,0.93521,1.61782,1.2783,0.000494861,0.000494861,0.000494861
10,279.13,1.02704,1.46087,1.23098,0.56724,0.62093,0.62464,0.44858,0.97706,1.62781,1.29543,0.000483218,0.000483218,0.000483218
11,306.184,1.03568,1.47494,1.22988,0.5983,0.71156,0.69844,0.50042,0.95988,1.41175,1.27391,0.000471576,0.000471576,0.000471576
12,332.883,1.019,1.42904,1.23521,0.6596,0.6934,0.71254,0.49809,0.97145,1.37389,1.26602,0.000459934,0.000459934,0.000459934
13,359.382,0.98626,1.32637,1.20524,0.65901,0.62668,0.65947,0.48016,0.91484,1.42595,1.24985,0.000448291,0.000448291,0.000448291
14,387.038,0.98692,1.28725,1.211,0.59705,0.69476,0.66359,0.47371,0.96112,1.50865,1.28375,0.000436649,0.000436649,0.000436649
15,414.048,0.96714,1.27364,1.20714,0.71475,0.72015,0.73819,0.53312,0.90311,1.21082,1.22209,0.000425006,0.000425006,0.000425006
16,441.289,0.99337,1.25426,1.21519,0.5843,0.67048,0.67753,0.48924,0.93405,1.28892,1.27873,0.000413364,0.000413364,0.000413364
17,468.75,0.95402,1.22348,1.18069,0.6402,0.70877,0.72332,0.53312,0.89699,1.31546,1.21909,0.000401722,0.000401722,0.000401722
18,495.952,0.97162,1.20091,1.19273,0.71092,0.76231,0.77647,0.56901,0.92029,1.10587,1.23565,0.000390079,0.000390079,0.000390079
19,522.624,0.96672,1.16036,1.18355,0.63617,0.68516,0.71439,0.53383,0.90702,1.25371,1.23266,0.000378437,0.000378437,0.000378437
20,549.358,0.94778,1.15924,1.17922,0.69428,0.74072,0.77166,0.56983,0.89497,1.12395,1.2215,0.000366794,0.000366794,0.000366794
21,576.318,0.94446,1.21586,1.17535,0.66109,0.71735,0.73438,0.53512,0.9084,1.30012,1.23936,0.000355152,0.000355152,0.000355152
22,603.414,0.96077,1.12965,1.18512,0.74113,0.7852,0.78662,0.5689,0.92177,1.05556,1.24553,0.00034351,0.00034351,0.00034351
23,630.724,0.96198,1.11228,1.17901,0.71573,0.74514,0.79626,0.5864,0.9014,1.01486,1.22102,0.000331867,0.000331867,0.000331867
24,658.079,0.93704,1.04456,1.16519,0.70312,0.80788,0.79302,0.59579,0.87384,1.01268,1.20824,0.000320225,0.000320225,0.000320225
25,685.444,0.91475,1.03937,1.15279,0.70625,0.77599,0.80385,0.59451,0.89157,0.99436,1.21623,0.000308582,0.000308582,0.000308582
26,713.068,0.90808,0.98023,1.14431,0.69515,0.76075,0.74019,0.55029,0.87948,1.17428,1.21648,0.00029694,0.00029694,0.00029694
